Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
5000,-48.17350925443938,48.18440772888948,-94.98451662839688
5019.631327150792,-47.97662629162361,47.99187673620168,-95.4803032996831
5039.339732102722,-47.8700494968059,47.88546914980907,-95.9624781522416
5059.125517483702,-47.71800611458712,47.73316424461416,-95.30628271344534
5078.988987109829,-47.50756600939241,47.52348404663109,-95.31133465937914
5098.930445990074,-47.46765298306698,47.4839920491095,-94.87634253846656
5118.950200330946,-47.27933550755064,47.29215878273008,-95.69299487450195
5139.048557541207,-47.11340379993742,47.12308849814963,-95.27883081675215
5159.225826236585,-46.94557101576153,46.96154355482378,-95.41559397403574
5179.482316244518,-46.90293285521128,46.91914571819109,-95.06972654060843
5199.818338608906,-46.68492700155858,46.70124897400805,-95.45802737555977
5220.234205594889,-46.53795025626007,46.55459705640484,-95.41410125983134
5240.730230693645,-46.35674247640279,46.37271850900252,-95.35457175260792
5261.306728627203,-46.24670076710701,46.2597739752634,-95.12122507987741
5281.964015353272,-46.02655808220376,46.04277955662564,-94.62505198827273
5302.702408070094,-45.8644832062508,45.88046837029631,-95.23640025516565
5323.522225221316,-45.63956631260491,45.65624156804495,-95.31487985141632
5344.423786500883,-45.57509058167612,45.5918993300417,-94.93382337215935
5365.407412857937,-45.32967012246036,45.3460223763124,-95.25526406297006
5386.473426501755,-45.18329474536107,45.19894204567547,-94.83396672511795
5407.622150906695,-44.96794707488078,44.98002234295882,-94.95851602254407
5428.853910817159,-44.76950321609598,44.7863865094404,-94.61884513925042
5450.169032252579,-44.52627307797633,44.54376118541327,-94.85055927963819
5471.567842512432,-44.30105639438041,44.31900759506686,-94.39939180413728
5493.050670181256,-44.13071045441281,44.14833432839579,-94.45205112129457
5514.617845133695,-43.99595173815954,44.01405926497959,-94.4403093488978
5536.269698539578,-43.72291936635272,43.73908383871061,-94.27461550627672
5558.006562868986,-43.49126173344322,43.50510607434515,-94.40634441384199
5579.828771897372,-43.28621666685329,43.29383690671599,-93.99003601099625
5601.736660710675,-43.05298500820268,43.07132260053499,-93.85371366846212
5623.730565710474,-42.74609044299707,42.76534194412469,-94.05320148245895
5645.810824619148,-42.47314410791778,42.49187891375448,-93.49670847109752
5667.977776485063,-42.22774287427037,42.24643237908349,-93.34401067002301
5690.231761687783,-41.99064582864065,42.00850835923791,-93.53237972506381
5712.573121943285,-41.70957359106774,41.72566999422677,-92.98808275776959
5735.002200309223,-41.43355448631313,41.44433041368728,-92.73551109708717
5757.519341190178,-41.08131814942329,41.09989823861434,-92.36627610018432
5780.124890342961,-40.81438791563903,40.8325760361088,-92.43083901615691
5802.819194881913,-40.4288757258233,40.44757258157726,-91.88232110118147
5825.602603284236,-40.11550261872078,40.13495107546753,-91.18773917522492
5848.475465395351,-39.77666117670066,39.79650852111932,-90.84004488676962
5871.438132434262,-39.42934457556228,39.44637136935691,-90.37511840977902
5894.490956998952,-39.01324628853551,39.02593018739323,-89.78722057933592
5917.634293071797,-38.61408759800883,38.61999318667961,-89.07627801472754
5940.868496025005,-38.1370847770964,38.15724116929942,-88.42942554699249
5964.193922626064,-37.64665360421145,37.66561652495695,-87.48824796956109
5987.610931043231,-37.13358626607714,37.15375586925777,-86.23814503334825
6011.119880851023,-36.55697599896578,36.57666587150263,-85.10515199942179
6034.721133035747,-35.96432700723653,35.98313302266988,-83.46345189211007
6058.41505000103,-35.26737912259597,35.28348523794237,-81.54420203647439
6082.2019955734,-34.50654134095844,34.51746945151094,-78.86297221897244
6106.08233500786,-33.6019029462317,33.62140650319188,-75.59349050345648
6130.056434993501,-32.57349615671277,32.59409162515834,-70.67248670423041
6154.124663659136,-31.40326989251846,31.42278065594901,-63.61357675090207
6178.287390578946,-30.2022703147773,30.22220020863493,-53.37415247418838
6202.544986778158,-29.27183926981366,29.29264307088257,-41.31442341517442
6226.897824738746,-28.76897155872026,28.78810196150592,-29.90396364128067
6251.346278405146,-28.59401233004913,28.61053420431828,-19.99800996543917
6275.890723189998,-28.58372927619748,28.59390694264762,-11.41631877316784
6300.53153597991,-28.68872905832486,28.70898595107818,-4.048159146951235
6325.26909514125,-28.89039091081317,28.91141706145725,2.604716350292364
6350.103780525951,-29.11654461520143,29.13797706148388,8.435913535552984
6375.035973477347,-29.41244470009181,29.43288397228345,13.69584384366937
6400.066056836027,-29.72749621346294,29.74819050418619,18.54010844613329
6425.194414945712,-30.06330211032063,30.0838920164442,22.92307610557567
6450.421433659159,-30.42582798015184,30.44355674003709,26.84985484177111
6475.747500344088,-30.80131493000801,30.81385466102444,30.41320381166814
6501.173003889123,-31.20140490333056,31.20815325503441,33.8151206998366
6526.698334709771,-31.59071997084403,31.61136627388185,36.64569611035586
6552.323884754413,-31.99886721943658,32.01928243913717,39.48635746993126
6578.050047510325,-32.40738417539609,32.43011176078674,42.01417649336263
6603.877218009717,-32.80507630507841,32.82672545803064,44.24388008034649
6629.805792835798,-33.25271375635648,33.27398779275259,46.32300274612163
6655.836170128872,-33.64485280273743,33.66444955059989,48.31943199039087
6681.968749592446,-34.04581834368679,34.062271420429,49.94065565234199
6708.203932499369,-34.46321032238105,34.47084167052611,51.5258068733632
6734.542121697994,-34.87220070232325,34.88619544257482,52.93455363446355
6760.983721618361,-35.24138028311797,35.26495361568296,54.2957325342271
6787.529138278414,-35.63183422412934,35.65500216677242,55.67311263915948
6814.178779290229,-36.00225787524507,36.02533036631286,56.59702120833947
6840.933053866274,-36.38344747913966,36.40654232939854,57.55796728825813
6867.792372825696,-36.75609910693207,36.77849249842262,58.33537314339702
6894.757148600626,-37.12027896018971,37.14019523107379,59.33897799473732
6921.827795242514,-37.43425541156886,37.44889927323563,59.84385634509333
6949.004728428485,-37.78433527005954,37.79304139321121,60.50392652845669
6976.288365467719,-38.09624320976662,38.1194673311175,61.49654605607149
7003.679125307871,-38.42893623418927,38.45238647422113,61.94038633944862
7031.177428541489,-38.75062227081686,38.77451046151272,62.2067487406195
7058.783697412479,-39.02233817350641,39.04681811992055,62.90775240467005
7086.498355822596,-39.33558655653256,39.36003313104435,63.43079274914876
7114.321829337935,-39.62183129628301,39.64528343013941,63.73773866989315
7142.254545195486,-39.92619541427464,39.94670314955793,63.96349978589876
7170.296932309677,-40.18180692578066,40.19702604394822,64.45932017807766
7198.449421278975,-40.48723462493673,40.49726218981775,64.41167963161573
7226.712444392486,-40.68004357973678,40.69826743436778,64.8745170942121
7255.086435636598,-40.94723977226049,40.9716239761459,65.01413886151352
7283.571830701649,-41.25432440066188,41.28035306468375,65.71427622699146
7312.169066988607,-41.48470879901362,41.51025529162655,65.63344944299585
7340.878583615797,-41.66279677257342,41.6883265654909,65.92833910413705
7369.700821425638,-41.90813200604099,41.9331400765557,66.11140724795331
7398.63622299141,-42.16695485551243,42.18914603766628,65.97914201752427
