Time (s),Channel 1 (V),Channel 2 (V)
-0.001045739405940594,-0.05221534199553866,-1.623817312763693
-0.001045409405940594,-0.05154452353845473,-1.638566634278859
-0.001045079405940594,-0.05087370508136958,-1.649628625415256
-0.001044749405940594,-0.05020288662428565,-1.671752607688005
-0.001044419405940594,-0.0495320681672008,-1.682814598824404
-0.001044089405940594,-0.04919665893865853,-1.693876589960783
-0.001043759405940594,-0.04819043125303188,-1.704938581097173
-0.001043429405940594,-0.04751961279594658,-1.719687902612362
-0.001043099405940594,-0.04684879433886265,-1.730749893748736
-0.001042769405940594,-0.04651338511031961,-1.741811884885131
-0.001042439405940594,-0.04550715742469372,-1.752873876021505
-0.001042109405940594,-0.04550715742469326,-1.7602485367791
-0.001041779405940594,-0.04450092973906691,-1.778685188673065
-0.001041449405940594,-0.04383011128198191,-1.786059849430663
-0.001041119405940594,-0.04315929282489767,-1.79343451018825
-0.001040789405940594,-0.04215306513927056,-1.811871162082227
-0.001040459405940594,-0.0411468374536442,-1.819245822839813
-0.001040129405940594,-0.04047601899655921,-1.830307813976201
-0.001039799405940594,-0.03980520053947497,-1.84136980511258
-0.001039469405940594,-0.03913438208239012,-1.85243179624897
-0.001039139405940594,-0.03846356362530589,-1.863493787385349
-0.001038809405940594,-0.03745733593967877,-1.878243108900533
-0.001038479405940594,-0.03712192671113682,-1.889305100036907
-0.001038149405940594,-0.03645110825405197,-1.900367091173301
-0.001037819405940594,-0.03611569902551,-1.907741751930885
-0.001037489405940594,-0.03578028979696743,-1.918803743067276
-0.001037159405940594,-0.03477406211134153,-1.926178403824859
-0.001036829405940594,-0.03410324365425608,-1.93724039496125
-0.001036499405940594,-0.03309701596863018,-1.951989716476415
-0.001036169405940594,-0.03242619751154503,-1.959364377234015
-0.001035839405940594,-0.0317553790544608,-1.970426368370392
-0.001035509405940594,-0.03108456059737595,-1.981488359506782
-0.001035179405940594,-0.02974292368320779,-1.999925011400744
-0.001034849405940594,-0.02940751445466445,-2.007299672158347
-0.001034519405940594,-0.02840128676903718,-2.014674332915947
-0.001034189405940594,-0.02773046831195325,-2.029423654431112
-0.001033859405940594,-0.0270596498548681,-2.040485645567508
-0.001033529405940594,-0.02638883139778417,-2.051547636703883
-0.001033199405940594,-0.02504719448361479,-2.051547636703888
-0.001032869405940594,-0.02471178525507267,-2.06629695821906
